ESTADO,EDAD,PROMEDIO ICFES,PROMEDIO_CARRERA,B,H,E,DESERTOR,
0,23,54.75,4.184285714,3.618333333,4.37,4.356,0,
0,27,44.1275,3.965,3.89,4.152857143,3.8824,0,
1,21,41.25,3.635172414,3.1925,3.424444444,4.088333333,0,
1,29,42.015,4.405263158,4.328571429,4.414285714,4.5,1,
0,24,42.6775,2.75,3,2.266666667,3.35,1,
0,25,47.13125,3.470847458,3.214,4.073846154,3.3528,0,
0,30,51.055,3.7856,3.723333333,3.68,4.009565217,0,
0,23,52.05625,4.031636364,3.798333333,4.28,3.9604,0,
0,22,42.125,4.03122807,3.357142857,4.333846154,4.291666667,0,
0,25,22.86375,2.716666667,2.2,2.566666667,3.2,1,
0,29,95.4025,4.620357143,4.65,4.57,4.6268,0,
0,30,42.21125,3.852142857,3.39,4.270769231,3.91875,0,
1,24,42.18875,3.572741935,3.824166667,3.318235294,3.631481481,0,
0,25,45.47125,2.366666667,2.055555556,2.3,2.72,1,
0,27,42.48875,3.978035714,3.703333333,4.103846154,3.9972,0,
0,21,38.5,3.582321429,3.226153846,3.885,3.596153846,0,
0,24,39,2.716666667,2,2.566666667,3.3,1,
0,36,42.375,3.342931034,3.117142857,3.278333333,3.466923077,0,
1,33,44,3.92,4.0825,3.887692308,3.925,0,
1,29,42.07125,3.416666667,3.33,3.6,3.42,1,
0,30,45.30875,3.808333333,3.766666667,3.85,3.8,1,
1,40,45.85714286,3.885423729,3.453076923,3.873571429,4.159615385,0,
1,38,49.25,3.997142857,3.6325,4.099333333,4.12,0,
1,28,48.445,3.915964912,3.560833333,4.113076923,3.963461538,0,
1,29,48.92875,3.847321429,3.543333333,3.995384615,3.8675,0,
1,25,48.17875,3.781818182,3.6,4,4,1,
0,28,54.19375,4.029411765,3.65,3.7,4.683333333,1,
0,38,45,0.88,0.8,0.55,1.25,1,
0,29,47.9275,3.964827586,3.232307692,4.216923077,4.215384615,0,
1,25,44.845,3.705762712,3.43,3.821538462,3.9372,0,
1,34,43.86125,3.616557377,3.514615385,3.58,3.675185185,0,
1,29,49.29,3.4625,2.87,4,3.546153846,1,
1,32,46.25,3.81375,3.273846154,4.141538462,3.962916667,0,
1,26,50.1175,3.724098361,3.500769231,3.546666667,3.858148148,0,
1,36,42.875,3.720689655,3.333333333,3.75,4,1,
0,26,40.8375,3.245272727,2.815555556,3.804,3.31173913,0,
0,32,44.7725,3.73440678,3.454166667,3.971333333,3.805384615,0,
0,32,43.855,3.225,2.266666667,3.8125,3.4,1,
0,49,64.625,4.141372549,4.2125,4.264,4.130416667,0,
0,24,42.97,3.801052632,3.429166667,3.787857143,3.9632,0,
0,21,44.5,2.508333333,2.1,2.46,2.875,1,
0,22,56.375,3.533333333,4.2,2.766666667,4.35,1,
0,31,46.475,3.812352941,3.411818182,4.088181818,3.917083333,0,
0,23,41,4.124705882,3.856153846,4.449,4.08,0,
0,33,37.125,4.4,3.4,4.6,4.6,1,
1,32,49.63125,3.1,0.5,3.789043952,4.4,1,
0,30,41.68625,4.283333333,4.333333333,4.3,4.216666667,1,
1,30,52.11625,4.068392857,3.87,4.320769231,3.9884,0,
0,23,53.625,4.288913043,4.292307692,4.488571429,4.1575,0,
1,25,44.435,3.329019608,3.372727273,3.7575,3.11875,0,
0,23,43.625,4.046444444,3.648333333,4.317777778,4.1115,1,
0,35,42.31,3.8,2.7,4.033333333,4,1,
0,25,47.06217754,3.964313725,3.830833333,4.293636364,3.882608696,0,
0,24,42,3.48755102,3.024,3.992222222,3.540952381,0,
1,24,42.625,1.995238095,1.266666667,2.277777778,2.3,1,
0,25,40.65,3.345833333,2.766666667,3.125,3.944444444,1,
0,23,36.5,2.166666667,1.85,2.614285714,1.716666667,1,
0,24,48.625,4.198431373,3.946666667,4.637272727,4.121304348,0,
1,31,46.85714286,4.131964286,4.073333333,4.080833333,4.163461538,0,
1,29,44.82375,3.527166667,2.939230769,3.654615385,3.803214286,0,
0,24,50.42375,3.599607843,3.315833333,3.748181818,3.744782609,0,
0,29,41.0075,2.3,2.3,3.789043952,3.592480379,1,
1,29,42,3.835689655,3.337142857,4.2175,4.053846154,0,
0,30,52.42125,4.071090909,4.044166667,4.043076923,4.09875,0,
0,27,42.55375,3.7,4.4,3.3,3.75,1,
1,33,46.81375,3.241666667,3.066666667,3.2,3.425,1,
0,26,42.5,3.185714286,3.042857143,2.916666667,3.5125,1,
1,32,48.02125,3.836,3.566666667,4.075,3.95,1,
0,31,37.875,3.18,3,3.65,2.8,1,
1,29,41.77,2.528571429,2.233333333,4.3,3.592480379,1,
1,26,45.125,3.988214286,3.534545455,4.291538462,4.104230769,0,
0,26,38.4775,3.580784314,3.120769231,4.137777778,3.665,1,
1,32,48.75,3.409090909,4.15,2.4,3.646666667,1,
1,36,43.5,3.60122807,3.0725,4.235384615,3.569615385,0,
1,35,45.125,3.359117647,2.63,2.998,3.741052632,1,
